#config f cx cy
293 479 253
#image x y z h
4 57 38 56 1
4 57 38 56 1
4 59 38 56 1
4 57 38 56 1
4 59 38 56 1
4 55 41 56 1
4 56 40 56 1
4 59 40 56 1
5 57 38 56 1
5 57 38 56 1
5 59 38 56 1
5 57 38 56 1
5 59 38 56 1
5 55 41 56 1
5 56 40 56 1
5 58 40 56 1
6 57 38 56 1
6 57 38 56 1
6 59 38 56 1
6 57 38 56 1
6 59 38 56 1
6 57 40 56 1
6 59 40 56 1
7 57 38 56 1
7 57 38 56 1
7 59 38 56 1
7 57 38 56 1
7 59 38 56 1
7 57 40 56 1
7 59 40 56 1
8 57 38 56 1
8 57 38 56 1
8 59 38 56 1
8 57 38 56 1
8 59 38 56 1
8 57 40 56 1
8 59 40 56 1
9 47 -42 66 1
9 57 38 56 1
9 57 38 56 1
9 58 38 56 1
9 57 38 56 1
9 58 38 56 1
9 57 40 56 1
9 58 40 56 1
10 57 38 56 1
10 57 38 56 1
10 59 38 56 1
10 55 39 56 1
10 56 38 56 1
10 59 38 56 1
10 55 40 56 1
10 59 40 56 1
11 57 38 56 1
11 57 38 56 1
11 59 38 56 1
11 57 38 56 1
11 59 38 56 1
11 57 40 56 1
11 59 40 56 1
12 57 38 56 1
12 57 38 56 1
12 58 38 56 1
12 57 38 56 1
12 58 38 56 1
12 57 40 56 1
12 58 40 56 1
13 57 38 244 188
13 58 38 244 188
13 59 38 244 188
13 57 38 244 188
13 59 38 244 188
13 57 40 244 188
13 59 40 244 188
14 -75 8 123 1
14 -76 7 139 1
14 57 38 56 1
14 57 38 56 1
14 59 38 56 1
14 57 38 56 1
14 59 38 56 1
14 57 40 56 1
14 59 40 56 1
15 57 38 56 1
15 57 38 56 1
15 59 38 56 1
15 57 38 56 1
15 59 38 56 1
15 -31 115 153 1
15 -25 115 154 1
15 57 40 56 1
15 59 40 56 1
16 57 38 56 1
16 57 38 56 1
16 58 38 56 1
16 57 38 56 1
16 58 38 56 1
16 -34 102 135 1
16 -28 103 137 1
16 0 108 145 1
16 57 40 56 1
16 58 40 56 1
17 57 38 56 1
17 57 38 56 1
17 59 38 56 1
17 57 38 56 1
17 59 38 56 1
17 -30 89 121 1
17 -18 89 119 2
17 57 40 56 1
17 59 40 56 1
18 57 38 56 1
18 57 38 56 1
18 58 38 56 1
18 57 38 56 1
18 58 38 56 1
18 -28 83 113 1
18 -16 82 112 2
18 57 40 56 1
18 58 40 56 1
19 -79 -34 244 132
19 57 38 244 188
19 57 38 244 188
19 59 38 244 188
