#config f cx cy
400 448 240
#image x y z h
4 202 -36 339 132
4 147 -38 339 91
4 174 -36 339 94
4 157 -35 339 92
4 139 -31 339 92
4 173 -29 339 91
4 185 -11 339 153
4 185 -13 339 153
4 183 -12 339 153
4 177 -7 339 100
4 86 12 339 165
4 25 22 339 197
4 87 30 339 183
4 85 32 339 183
4 152 32 339 184
4 -106 40 339 184
4 -77 39 339 191
4 -51 39 339 192
4 -50 39 339 192
4 -49 39 339 192
4 -158 42 339 196
4 -127 42 339 191
4 -121 43 339 186
4 153 53 339 183
4 155 53 339 183
4 155 57 339 183
4 53 82 339 123
4 155 58 339 183
4 155 63 339 183
4 155 60 339 183
4 153 63 339 183
4 158 85 339 174
4 163 90 339 176
4 -37 127 339 121
4 41 106 339 156
4 67 109 339 148
5 165 -49 339 94
5 209 -37 339 130
5 174 -40 339 94
5 157 -34 339 92
5 173 -28 339 91
5 185 -11 339 153
5 176 -7 339 102
5 85 11 339 166
5 24 22 339 196
5 86 32 339 185
5 152 32 339 185
5 -131 41 339 189
5 -108 40 339 188
5 -77 39 339 191
5 -51 38 339 193
5 -160 42 339 194
5 -121 43 339 189
5 155 54 339 183
5 155 63 339 183
5 163 91 339 176
5 -39 128 339 120
5 17 124 339 125
5 45 107 339 155
6 -69 -151 339 82
6 -63 -151 339 81
6 -25 -139 339 87
6 163 -48 339 98
6 203 -36 339 130
6 171 -42 339 94
6 172 -40 339 94
6 157 -34 339 92
6 173 -28 339 91
6 182 -15 339 153
6 177 -7 339 100
6 85 11 339 166
6 24 25 339 195
6 23 26 339 195
6 23 25 339 195
6 87 32 339 184
6 150 32 339 186
6 -133 40 339 188
6 -107 40 339 186
6 -76 39 339 190
6 -51 39 339 192
6 -50 39 339 192
6 -49 39 339 192
6 -159 42 339 195
6 -140 43 339 188
6 -124 42 339 188
6 -121 43 339 185
6 153 53 339 183
6 155 53 339 183
6 155 57 339 183
6 155 58 339 183
6 155 63 339 183
6 155 60 339 183
6 153 63 339 183
6 161 85 339 174
6 8 109 339 128
6 56 106 339 148
6 163 90 339 175
6 -38 127 339 121
6 60 109 339 148
6 60 111 339 148
7 -27 -98 339 126
7 -30 -90 339 127
7 -23 -59 339 91
7 202 -35 339 133
7 171 -40 339 94
7 172 -36 339 94
7 156 -34 339 93
7 186 -11 339 151
7 185 -11 339 151
7 181 -7 339 101
7 86 12 339 165
7 22 28 339 195
7 22 28 339 195
7 87 31 339 184
7 150 33 339 186
7 -134 41 339 186
7 -99 40 339 183
7 -77 39 339 190
7 -51 38 339 193
7 154 43 339 184
7 -159 43 339 195
7 -108 42 339 193
7 154 53 339 184
7 154 50 339 184
7 55 70 339 145
7 154 54 339 184
7 43 69 339 146
7 155 56 339 184
7 153 63 339 183
7 3 101 339 153
7 6 104 339 153
7 163 91 339 176
7 -48 128 339 118
7 -37 127 339 121
7 6 108 339 153
7 33 133 339 113
7 64 114 339 142
8 165 -49 246 1
8 168 -45 246 1
8 -25 -34 215 1
8 172 -42 246 1
8 172 -41 246 1
8 159 -34 247 1
8 201 -30 207 1
8 143 -30 252 1
8 182 -15 186 1
8 -51 -15 246 1
8 -33 -8 248 1
8 177 -7 240 1
8 -24 -1 249 1
8 87 12 175 1
8 25 25 145 1
8 25 25 145 1
8 87 31 155 1
8 151 32 153 1
8 28 32 148 1
8 -108 40 152 1
8 -76 39 149 1
8 -161 42 146 1
8 -126 42 147 1
8 -119 43 150 1
8 -50 40 143 1
8 -49 40 143 1
8 -48 40 143 1
8 153 53 156 1
8 -151 48 157 1
8 40 68 186 1
8 155 53 156 1
8 155 56 156 1
8 155 62 156 1
8 155 63 156 2
8 43 76 179 1
8 163 89 163 2
8 78 120 211 1
8 -36 127 217 1
8 42 142 243 1
8 78 123 211 1
8 78 122 211 1
9 -240 -135 339 99
9 163 -48 339 96
9 210 -36 339 130
9 171 -39 339 96
9 201 -35 339 129
9 156 -34 339 93
9 185 -13 339 154
9 180 -11 339 153
9 177 -7 339 100
9 -14 5 339 111
9 -14 4 339 111
9 -20 9 339 111
9 -20 5 339 111
9 86 11 339 166
9 28 20 339 192
9 -23 36 339 91
9 -20 36 339 91
9 88 31 339 183
9 151 32 339 185
9 -135 41 339 188
9 -103 40 339 187
9 -77 39 339 191
9 -52 39 339 192
9 -160 42 339 194
9 -129 42 339 189
9 -110 42 339 192
9 40 62 339 153
9 -148 46 339 186
9 35 63 339 153
9 155 57 339 183
9 30 66 339 153
9 155 62 339 183
9 155 63 339 183
9 46 81 339 166
9 47 81 339 166
9 163 89 339 176
9 -36 126 339 122
9 38 141 339 99
10 171 -39 243 1
10 152 -33 239 1
10 141 -30 241 1
10 181 -12 184 1
10 85 11 173 1
10 36 16 145 1
10 35 17 145 1
10 87 31 155 1
10 -22 49 216 1
10 150 32 152 1
10 -132 41 152 1
10 -112 40 151 1
10 -77 39 148 1
10 -51 39 147 1
10 152 45 156 1
10 152 43 156 1
10 -159 42 144 1
10 -123 42 151 1
10 -122 42 151 1
10 -120 43 151 1
10 154 51 156 1
10 154 53 156 2
10 -7 81 248 1
10 47 63 174 1
10 155 54 156 1
10 155 58 156 1
10 48 70 173 2
10 50 71 173 2
10 52 72 173 2
10 155 62 156 1
10 155 63 156 1
10 163 89 164 1
10 -36 126 217 1
