#image x y z h
4 -196.0 64.8 250 111
4 -191.9 171.4 250 78
4 -187.9 105.7 250 115
4 -131.3 73.7 250 87
4 66.7 73.7 250 174
4 99.0 9.7 250 156
5 -196.0 64.8 250 110
5 -187.9 102.1 250 116
5 -187.9 171.4 250 79
5 -131.3 75.4 250 86
5 66.7 64.8 250 172
5 94.9 0.8 250 158
6 -196.0 64.8 250 109
6 -187.9 105.7 250 115
6 -187.9 171.4 250 79
6 -131.3 75.4 250 86
6 -14.1 32.8 250 81
6 66.7 59.4 250 171
6 99.0 0.8 250 157
7 -196.0 61.2 250 110
7 -187.9 103.9 250 116
7 -187.9 171.4 250 79
7 -131.3 75.4 250 86
7 -14.1 34.6 250 94
7 62.6 45.2 250 171
7 115.2 6.1 250 158
8 -196.0 64.8 250 110
8 -191.9 169.7 250 79
8 -187.9 105.7 250 116
8 -131.3 75.4 250 86
8 -10.1 31.0 250 104
8 62.6 39.9 250 172
8 119.2 9.7 250 162
9 -196.0 64.8 250 110
9 -187.9 103.9 250 117
9 -187.9 171.4 250 79
9 -127.3 75.4 250 87
9 -6.1 27.4 250 111
9 62.6 32.8 250 172
9 127.3 11.4 250 159
10 -196.0 66.6 250 110
10 -191.9 102.1 250 114
10 -183.8 171.4 250 79
10 -131.3 73.7 250 86
10 -2.0 27.4 250 133
10 66.7 25.7 250 171
10 127.3 9.7 250 158
11 -196.0 66.6 250 110
11 -191.9 96.8 250 114
11 -187.9 167.9 250 78
11 -127.3 71.9 250 86
11 -6.1 31.0 250 145
11 66.7 20.3 250 172
11 127.3 16.8 250 158
12 -196.0 63.0 250 110
12 -187.9 91.4 250 118
12 -183.8 167.9 250 79
12 -131.3 75.4 250 84
12 -6.1 39.9 250 153
12 66.7 15.0 250 171
12 127.3 22.1 250 157
13 -191.9 84.3 250 114
13 -191.9 171.4 250 78
13 -131.3 70.1 250 84
13 -6.1 45.2 250 156
13 70.7 11.4 250 170
13 123.2 27.4 250 155
14 -196.0 77.2 250 112
14 -183.8 171.4 250 79
14 -135.4 66.6 250 86
14 -6.1 59.4 250 157
14 74.7 4.3 250 171
14 115.2 39.9 250 156
15 -196.0 71.9 250 111
15 -187.9 171.4 250 79
15 -127.3 73.7 250 86
15 -6.1 64.8 250 156
15 78.8 6.1 250 167
15 103.0 48.8 250 155
16 -196.0 75.4 250 111
16 -187.9 171.4 250 79
16 -127.3 73.7 250 86
16 -6.1 73.7 250 161
16 78.8 7.9 250 155
16 107.1 50.6 250 155
17 -196.0 75.4 250 111
17 -187.9 171.4 250 79
17 -131.3 73.7 250 86
17 2.0 82.6 250 163
17 78.8 2.6 250 149
17 99.0 64.8 250 152
18 -196.0 75.4 250 112
18 -183.8 167.9 250 79
18 -131.3 68.3 250 86
18 6.1 84.3 250 163
18 82.8 2.6 250 144
18 103.0 70.1 250 153
19 -196.0 75.4 250 112
19 -187.9 171.4 250 79
19 -135.4 64.8 250 86
19 14.1 82.6 250 157
19 86.9 4.3 250 141
19 103.0 75.4 250 156
20 -196.0 73.7 250 112
20 -187.9 171.4 250 79
20 -131.3 73.7 250 86
20 18.2 64.8 250 108
20 103.0 73.7 250 157
21 -196.0 77.2 250 112
21 -191.9 171.4 250 78
21 -127.3 71.9 250 86
21 26.3 89.7 250 159
21 94.9 73.7 250 157
22 -196.0 77.2 250 112
22 -187.9 171.4 250 79
22 -127.3 71.9 250 86
22 34.3 93.2 250 155
22 90.9 71.9 250 155
22 127.3 150.1 250 98
23 -196.0 77.2 250 111
23 -191.9 171.4 250 78
23 -127.3 71.9 250 85
23 38.4 98.6 250 150
23 86.9 63.0 250 154
23 123.2 148.3 250 102
24 -196.0 77.2 250 113
24 -187.9 171.4 250 79
24 -131.3 68.3 250 85
24 50.5 102.1 250 146
24 74.7 48.8 250 153
24 119.2 143.0 250 109
25 -196.0 66.6 250 112
25 -187.9 93.2 250 116
25 -187.9 171.4 250 79
25 -131.3 68.3 250 85
25 58.6 102.1 250 146
25 70.7 45.2 250 153
25 123.2 144.8 250 104
26 -191.9 68.3 250 111
26 -187.9 91.4 250 118
26 -187.9 171.4 250 79
26 -135.4 71.9 250 84
26 66.7 43.4 250 155
26 66.7 100.3 250 149
27 -196.0 64.8 250 111
27 -191.9 169.7 250 80
27 -183.8 96.8 250 118
27 -135.4 71.9 250 84
27 50.5 47.0 250 149
27 82.8 89.7 250 160
28 -196.0 63.0 250 112
28 -187.9 171.4 250 79
28 -183.8 96.8 250 118
28 -131.3 68.3 250 84
28 50.5 45.2 250 153
28 90.9 84.3 250 163
29 -196.0 63.0 250 112
29 -183.8 96.8 250 119
29 -183.8 171.4 250 78
29 -131.3 68.3 250 84
29 30.3 157.2 250 86
29 46.5 50.6 250 147
29 94.9 84.3 250 164
30 -196.0 64.8 250 110
30 -187.9 171.4 250 79
30 -183.8 102.1 250 118
30 -131.3 70.1 250 84
30 34.3 63.0 250 152
30 103.0 135.9 250 114
30 115.2 70.1 250 165
31 -196.0 64.8 250 110
31 -183.8 100.3 250 119
31 -183.8 171.4 250 79
31 -127.3 68.3 250 84
31 30.3 70.1 250 153
31 107.1 132.3 250 117
31 115.2 63.0 250 166
32 -196.0 63.0 250 109
32 -187.9 171.4 250 79
32 -183.8 100.3 250 120
32 -131.3 71.9 250 84
32 30.3 70.1 250 155
32 82.8 2.6 250 151
32 111.1 132.3 250 117
32 119.2 59.4 250 163
33 -183.8 171.4 250 79
33 -179.8 102.1 250 120
33 -135.4 71.9 250 84
33 22.2 79.0 250 154
33 82.8 6.1 250 172
33 103.0 128.8 250 122
33 123.2 48.8 250 162
34 -196.0 66.6 250 109
34 -183.8 100.3 250 120
34 -183.8 169.7 250 79
34 -131.3 70.1 250 84
34 6.1 93.2 250 153
34 94.9 11.4 250 173
34 107.1 121.7 250 125
35 -196.0 66.6 250 109
35 -187.9 167.9 250 79
35 -179.8 100.3 250 120
35 -131.3 70.1 250 84
35 6.1 93.2 250 151
35 99.0 20.3 250 175
35 103.0 116.3 250 130
36 -196.0 64.8 250 109
36 -187.9 169.7 250 79
36 -179.8 100.3 250 121
36 -131.3 73.7 250 84
36 -10.1 96.8 250 151
36 90.9 114.6 250 134
36 103.0 20.3 250 174
37 -196.0 66.6 250 110
37 -183.8 171.4 250 79
37 -179.8 93.2 250 120
37 -135.4 70.1 250 84
37 -22.2 100.3 250 148
37 86.9 109.2 250 140
37 107.1 23.9 250 173
38 -196.0 63.0 250 109
38 -183.8 167.9 250 79
38 -179.8 98.6 250 120
38 -135.4 73.7 250 83
38 -26.3 105.7 250 141
38 82.8 103.9 250 144
38 107.1 29.2 250 172
39 -196.0 64.8 250 111
39 -191.9 171.4 250 79
39 -179.8 100.3 250 120
39 -135.4 70.1 250 85
39 -26.3 112.8 250 134
39 82.8 96.8 250 146
39 107.1 34.6 250 171
40 -196.0 66.6 250 109
40 -187.9 171.4 250 79
40 -179.8 100.3 250 120
40 -131.3 68.3 250 85
40 -38.4 114.6 250 134
40 54.5 82.6 250 166
40 115.2 39.9 250 168
41 -196.0 64.8 250 111
41 -187.9 169.7 250 79
41 -179.8 100.3 250 120
41 -131.3 75.4 250 85
41 -42.4 127.0 250 122
41 54.5 70.1 250 178
41 119.2 52.3 250 164
42 -196.0 64.8 250 111
42 -187.9 171.4 250 79
42 -179.8 98.6 250 120
42 -131.3 73.7 250 83
42 -46.5 125.2 250 124
42 54.5 66.6 250 180
42 119.2 55.9 250 165
43 -191.9 63.0 250 112
43 -187.9 171.4 250 79
43 -183.8 100.3 250 119
43 -139.4 64.8 250 84
43 -46.5 128.8 250 121
43 46.5 66.6 250 182
43 119.2 59.4 250 164
44 -196.0 64.8 250 110
44 -183.8 100.3 250 119
44 -183.8 171.4 250 78
44 -131.3 68.3 250 84
44 -46.5 135.9 250 110
44 34.3 66.6 250 181
44 119.2 66.6 250 166
45 -191.9 64.8 250 111
45 -191.9 171.4 250 79
45 -179.8 95.0 250 120
45 -139.4 68.3 250 83
45 -58.6 135.9 250 113
45 30.3 66.6 250 180
45 123.2 77.2 250 165
46 -196.0 64.8 250 110
46 -187.9 171.4 250 79
46 -183.8 96.8 250 120
46 -143.4 63.0 250 79
46 -50.5 135.9 250 84
46 26.3 68.3 250 180
46 119.2 84.3 250 164
47 -196.0 64.8 250 111
47 -187.9 171.4 250 79
47 -183.8 100.3 250 119
47 -131.3 70.1 250 83
47 -58.6 141.2 250 107
47 18.2 68.3 250 179
47 123.2 86.1 250 155
48 -191.9 61.2 250 114
48 -183.8 100.3 250 119
48 -183.8 171.4 250 78
48 -131.3 71.9 250 83
48 -74.7 144.8 250 103
48 18.2 63.0 250 178
48 123.2 87.9 250 143
49 -191.9 63.0 250 113
49 -187.9 171.4 250 79
49 -183.8 96.8 250 120
49 -135.4 63.0 250 83
49 -78.8 144.8 250 104
49 10.1 71.9 250 178
49 115.2 96.8 250 153
50 -183.8 63.0 250 115
50 -183.8 171.4 250 78
50 -179.8 95.0 250 120
50 -131.3 70.1 250 83
50 -78.8 144.8 250 104
50 6.1 71.9 250 177
50 123.2 95.0 250 149
51 -196.0 55.9 250 110
51 -183.8 100.3 250 119
51 -183.8 167.9 250 79
51 -131.3 68.3 250 84
51 -90.9 148.3 250 101
51 2.0 70.1 250 178
51 107.1 103.9 250 144
52 -196.0 59.4 250 109
52 -187.9 171.4 250 79
52 -183.8 98.6 250 119
52 -135.4 71.9 250 84
52 -82.8 148.3 250 99
52 2.0 68.3 250 178
52 103.0 105.7 250 141
53 -196.0 59.4 250 109
53 -187.9 169.7 250 80
53 -183.8 96.8 250 120
53 -139.4 50.6 250 78
53 -54.5 157.2 250 86
53 2.0 66.6 250 180
53 99.0 111.0 250 135
54 -196.0 63.0 250 109
54 -187.9 171.4 250 79
54 -179.8 93.2 250 120
54 -131.3 66.6 250 85
54 -78.8 144.8 250 106
54 6.1 64.8 250 181
54 103.0 127.0 250 98
55 -196.0 59.4 250 109
55 -183.8 95.0 250 119
55 -183.8 171.4 250 79
55 -143.4 57.7 250 76
55 -74.7 146.6 250 103
55 6.1 64.8 250 181
55 99.0 137.7 250 110
56 -196.0 64.8 250 109
56 -187.9 171.4 250 79
56 -179.8 95.0 250 120
56 -135.4 64.8 250 86
56 -62.6 144.8 250 100
56 10.1 61.2 250 180
56 86.9 146.6 250 103
57 -196.0 57.7 250 110
57 -187.9 171.4 250 79
57 -183.8 95.0 250 119
57 -131.3 70.1 250 85
57 -70.7 148.3 250 101
57 10.1 57.7 250 181
57 99.0 155.4 250 95
58 -191.9 64.8 250 112
58 -191.9 167.9 250 78
58 -183.8 95.0 250 119
58 -131.3 70.1 250 85
58 -66.7 144.8 250 102
58 14.1 55.9 250 182
59 -196.0 66.6 250 109
59 -187.9 171.4 250 79
59 -183.8 96.8 250 119
59 -131.3 71.9 250 84
59 -66.7 144.8 250 103
59 18.2 57.7 250 181
60 -191.9 64.8 250 112
60 -187.9 171.4 250 79
60 -183.8 93.2 250 119
60 -131.3 70.1 250 85
60 -66.7 144.8 250 104
60 22.2 63.0 250 180
61 -191.9 64.8 250 112
61 -187.9 171.4 250 79
61 -183.8 96.8 250 119
61 -131.3 66.6 250 85
61 -62.6 135.9 250 109
61 34.3 63.0 250 180
62 -191.9 66.6 250 111
62 -183.8 93.2 250 119
62 -179.8 171.4 250 78
62 -143.4 57.7 250 77
62 -62.6 135.9 250 86
62 38.4 63.0 250 179
63 -196.0 66.6 250 110
63 -187.9 171.4 250 78
63 -183.8 93.2 250 119
63 -131.3 68.3 250 85
63 -62.6 135.9 250 110
63 46.5 61.2 250 177
64 -191.9 64.8 250 112
64 -183.8 93.2 250 119
64 -183.8 171.4 250 79
64 -135.4 64.8 250 86
64 -74.7 137.7 250 111
64 38.4 48.8 250 146
65 -191.9 63.0 250 113
65 -187.9 171.4 250 79
65 -183.8 96.8 250 119
65 -135.4 71.9 250 85
65 -86.9 130.6 250 119
65 46.5 66.6 250 175
66 -191.9 48.8 250 110
66 -183.8 96.8 250 119
66 -183.8 171.4 250 79
66 -131.3 68.3 250 85
66 -86.9 132.3 250 118
66 50.5 77.2 250 171
67 -196.0 55.9 250 111
67 -187.9 171.4 250 79
67 -179.8 96.8 250 120
67 -131.3 70.1 250 85
67 -82.8 132.3 250 116
67 46.5 79.0 250 169
68 -196.0 55.9 250 111
68 -187.9 171.4 250 79
68 -179.8 96.8 250 120
68 -127.3 71.9 250 85
68 -86.9 128.8 250 119
68 54.5 84.3 250 160
69 -196.0 57.7 250 111
69 -183.8 95.0 250 119
69 -183.8 171.4 250 79
69 -131.3 70.1 250 85
69 -82.8 127.0 250 121
69 62.6 82.6 250 158
70 -196.0 55.9 250 110
70 -183.8 96.8 250 119
70 -179.8 171.4 250 79
70 -131.3 70.1 250 85
70 -82.8 121.7 250 129
70 66.7 80.8 250 158
71 -196.0 55.9 250 111
71 -187.9 171.4 250 79
71 -183.8 96.8 250 119
71 -131.3 68.3 250 85
71 -74.7 112.8 250 136
71 74.7 82.6 250 160
72 -196.0 55.9 250 110
72 -183.8 98.6 250 119
72 -183.8 169.7 250 79
72 -139.4 68.3 250 84
72 -66.7 105.7 250 143
72 74.7 82.6 250 160
73 -196.0 55.9 250 110
73 -183.8 96.8 250 119
73 -183.8 171.4 250 79
73 -135.4 68.3 250 84
73 -66.7 100.3 250 148
73 86.9 80.8 250 163
74 -196.0 55.9 250 110
74 -183.8 96.8 250 119
74 -183.8 171.4 250 79
74 -151.5 55.9 250 77
74 -62.6 98.6 250 148
74 94.9 75.4 250 160
75 -191.9 63.0 250 113
75 -183.8 96.8 250 119
75 -183.8 167.9 250 78
75 -127.3 70.1 250 85
75 -58.6 86.1 250 142
75 107.1 77.2 250 164
76 -191.9 64.8 250 112
76 -183.8 96.8 250 119
76 -183.8 171.4 250 79
76 -135.4 64.8 250 84
76 -58.6 86.1 250 142
76 111.1 79.0 250 167
77 -191.9 59.4 250 112
77 -183.8 95.0 250 119
77 -183.8 171.4 250 79
77 -135.4 73.7 250 82
77 -62.6 77.2 250 140
77 115.2 82.6 250 165
78 -196.0 64.8 250 110
78 -191.9 171.4 250 79
78 -183.8 96.8 250 119
78 -135.4 64.8 250 84
78 -66.7 66.6 250 145
78 123.2 86.1 250 159
79 -191.9 64.8 250 112
79 -183.8 96.8 250 119
79 -183.8 169.7 250 78
79 -151.5 52.3 250 77
79 -70.7 57.7 250 145
79 94.9 119.9 250 129
79 131.3 79.0 250 155
80 -191.9 66.6 250 112
80 -191.9 169.7 250 78
80 -183.8 96.8 250 119
80 -135.4 43.4 250 77
80 -66.7 45.2 250 145
80 70.7 128.8 250 115
80 90.9 112.8 250 137
80 139.4 91.4 250 152
81 -191.9 64.8 250 111
81 -187.9 167.9 250 79
81 -183.8 96.8 250 119
81 -155.6 54.1 250 78
81 -70.7 47.0 250 149
81 90.9 107.4 250 140
81 143.4 91.4 250 150
82 -191.9 64.8 250 111
82 -187.9 171.4 250 79
82 -183.8 95.0 250 119
82 -155.6 54.1 250 78
82 -66.7 45.2 250 152
82 82.8 93.2 250 157
82 167.7 107.4 250 127
83 -191.9 66.6 250 111
83 -183.8 95.0 250 119
83 -183.8 171.4 250 79
83 -155.6 54.1 250 78
83 -62.6 45.2 250 150
83 78.8 82.6 250 166
83 175.8 114.6 250 127
84 -191.9 64.8 250 112
84 -183.8 95.0 250 119
84 -179.8 171.4 250 79
84 -147.5 50.6 250 78
