#image x y z h
8 34.7 -28.9 286 161
9 29.5 -21.2 286 167
10 27.0 -5.9 286 169
11 19.2 3.7 286 167
12 14.1 17.2 286 164
13 6.4 32.5 286 165
13 86.2 -19.3 286 116
14 1.2 44.0 286 168
15 -37.4 -25.1 286 117
15 -1.4 74.7 286 168
15 81.1 -9.7 286 148
16 -34.8 -21.2 286 180
16 -11.7 82.4 286 164
16 75.9 1.8 286 149
17 -37.4 -7.8 286 183
17 -6.5 97.8 286 166
17 63.0 40.2 286 118
18 -32.3 -0.1 286 181
18 -11.7 105.5 286 157
18 63.0 34.4 286 153
20 -47.7 32.5 286 176
20 -19.4 120.8 286 138
20 42.4 65.2 286 127
21 -47.7 44.0 286 177
21 -42.6 130.4 286 127
21 50.2 63.2 286 148
22 -50.3 55.6 286 181
22 -40.0 132.3 286 125
22 16.7 -23.1 286 125
22 52.7 72.8 286 148
23 -50.3 65.2 286 182
23 -1.4 -7.8 286 118
23 37.3 88.2 286 152
24 -50.3 76.7 286 180
24 1.2 -19.3 286 157
24 45.0 90.1 286 150
25 -47.7 88.2 286 177
25 -1.4 -3.9 286 157
25 34.7 107.4 286 154
26 -50.3 88.2 286 173
26 -3.9 5.7 286 157
26 37.3 111.2 286 150
27 -47.7 101.6 286 159
27 1.2 17.2 286 162
27 32.1 115.1 286 145
28 -45.2 109.3 286 152
28 -14.2 30.6 286 163
28 32.1 120.8 286 139
29 -63.2 117.0 286 143
29 -14.2 40.2 286 160
29 24.4 126.6 286 132
30 -60.6 126.6 286 139
30 -16.8 49.8 286 158
30 19.2 132.3 286 126
31 -52.9 126.6 286 134
31 -19.4 59.4 286 157
32 -22.0 72.8 286 161
33 -24.5 82.4 286 163
34 -27.1 99.7 286 161
35 -32.3 103.5 286 159
36 -16.8 117.0 286 138
37 -27.1 122.7 286 138
38 -19.4 128.5 286 129
39 -19.4 132.3 286 129
40 -6.5 132.3 286 129
63 1.2 -19.3 286 117
64 1.2 -25.1 286 165
65 -1.4 -15.5 286 167
66 -1.4 9.5 286 165
67 -6.5 13.3 286 163
68 -9.1 24.8 286 164
69 -11.7 42.1 286 166
70 -14.2 59.4 286 166
71 -16.8 78.6 286 163
72 -19.4 93.9 286 163
73 -22.0 99.7 286 163
74 -29.7 107.4 286 150
75 -29.7 120.8 286 138
76 -34.8 128.5 286 128
77 -29.7 130.4 286 127
110 37.3 126.6 286 134
111 42.4 117.0 286 146
112 68.2 97.8 286 169
113 63.0 86.3 286 179
114 70.8 74.7 286 182
115 75.9 61.3 286 178
116 81.1 51.7 286 176
117 19.2 -25.1 286 146
117 86.2 42.1 286 177
118 14.1 -17.4 286 146
118 93.9 28.7 286 179
119 6.4 -0.1 286 145
119 104.2 15.3 286 183
120 1.2 15.3 286 151
120 52.7 132.3 286 126
120 109.4 1.8 286 180
121 -6.5 26.8 286 151
121 63.0 124.6 286 134
121 122.3 -7.8 286 176
122 -55.5 -27.0 286 120
122 -11.7 46.0 286 146
122 57.9 113.1 286 147
123 -47.7 -13.5 286 125
123 -19.4 61.3 286 146
123 68.2 97.8 286 167
123 124.8 -21.2 286 146
124 -55.5 3.7 286 124
124 -27.1 90.1 286 151
124 75.9 78.6 286 176
125 -55.5 21.0 286 121
125 -27.1 111.2 286 148
125 83.6 63.2 286 174
126 -63.2 38.3 286 119
126 -34.8 117.0 286 142
126 83.6 47.9 286 176
127 -60.6 42.1 286 123
127 -40.0 130.4 286 128
127 91.4 36.4 286 181
128 -65.8 28.7 286 182
128 -40.0 132.3 286 125
128 99.1 22.9 286 180
129 -70.9 49.8 286 180
129 106.8 17.2 286 178
130 -78.6 69.0 286 177
130 117.1 1.8 286 174
131 -73.5 82.4 286 173
131 124.8 -5.9 286 173
132 -78.6 86.3 286 160
133 -86.4 93.9 286 161
134 -94.1 -25.1 286 152
134 -70.9 101.6 286 154
135 -99.2 -21.2 286 160
135 -65.8 122.7 286 133
136 -94.1 -11.6 286 160
136 -91.5 122.7 286 137
137 -101.8 -0.1 286 158
137 -83.8 128.5 286 129
138 -101.8 26.8 286 155
139 -99.2 42.1 286 156
140 -99.2 61.3 286 159
141 -96.7 72.8 286 159
142 -96.7 86.3 286 153
143 -107.0 93.9 286 157
144 -91.5 120.8 286 131
