#image x y z h
17 -18.3 89.1 119 2
18 -16.1 82.2 112 2
19 -10.0 70.2 244 148
20 -8.5 59.9 244 162
22 9.7 49.6 68 2
23 15.8 37.6 70 2
24 18.8 29.0 68 2
25 26.4 20.4 68 2
26 -3.9 15.3 76 2
26 6.7 89.1 121 2
27 2.1 78.8 244 137
27 27.9 15.3 244 177
28 3.6 71.9 98 2
28 30.2 3.2 64 2
29 0.6 59.9 244 161
29 32.4 8.4 244 179
30 -7.0 44.4 244 160
30 30.9 6.7 244 168
31 -12.3 32.4 244 160
32 -21.4 20.4 244 165
32 31.7 -3.6 244 186
33 -20.6 10.1 244 161
33 34.7 -20.8 244 187
34 -22.9 -3.6 244 159
34 14.2 -15.7 244 170
35 1.4 114.8 244 93
35 6.7 -32.8 244 185
36 -24.4 -22.5 244 161
36 3.6 -39.7 244 188
36 12.7 109.7 244 100
37 -9.2 97.7 244 113
37 0.6 -43.1 244 188
38 -0.9 92.5 244 121
38 8.2 -41.4 244 169
39 -12.3 87.4 244 127
39 2.1 -41.4 244 168
40 -15.3 77.1 244 140
40 -4.7 -44.8 244 168
41 -13.8 68.5 244 152
41 -9.2 -46.6 244 122
42 -21.4 58.2 244 164
43 -19.1 49.6 244 176
44 -19.1 47.9 244 176
45 -13.0 41.0 244 176
46 -9.2 32.4 244 176
47 -10.0 25.6 68 3
48 -9.2 22.1 68 4
49 -9.2 22.1 244 176
50 -13.8 17.0 68 2
51 -19.8 15.3 244 176
52 -21.4 13.5 244 176
53 -25.2 11.8 244 176
54 -22.9 13.5 244 176
55 -25.9 10.1 244 176
56 -28.9 4.9 68 2
57 -27.4 -0.2 244 176
58 -22.1 1.5 244 168
59 -25.2 -8.8 244 175
60 -22.9 -5.4 244 168
61 -25.2 -19.1 244 176
62 -25.2 -24.2 244 176
63 -26.7 -32.8 244 176
64 -28.9 -36.3 244 176
65 -32.0 -41.4 244 176
66 -30.5 -44.8 244 168
67 -32.7 -46.6 244 168
144 -20.6 -46.6 244 188
145 -11.5 -39.7 244 188
146 -7.0 -34.5 244 187
147 8.2 -27.7 244 168
148 12.0 -22.5 244 168
149 1.4 -8.8 244 188
150 3.6 1.5 244 186
151 -0.2 17.0 244 183
152 -25.2 -44.8 244 122
152 8.9 23.8 244 168
153 -16.8 -46.6 244 160
153 4.4 32.4 244 173
154 -7.0 -41.4 244 160
154 8.2 44.4 244 173
155 -3.9 -24.2 244 160
155 2.9 53.0 244 168
156 -3.9 -17.4 244 160
156 3.6 61.6 244 162
157 -8.5 -1.9 244 160
157 1.4 78.8 244 96
158 -21.4 106.3 244 102
158 -10.0 6.7 244 160
159 -10.0 22.1 244 160
159 24.8 97.7 244 99
160 -13.8 30.7 244 162
160 30.2 109.7 244 93
161 -10.0 47.9 244 160
161 -4.7 -41.4 244 176
162 -9.2 63.3 244 157
162 1.4 -36.3 244 168
163 -10.8 68.5 244 150
163 -0.9 -17.4 244 171
164 -10.8 77.1 244 140
164 2.9 -1.9 244 176
165 -32.0 101.1 244 107
165 11.2 11.8 244 176
165 24.1 116.6 244 89
166 14.2 25.6 244 176
167 10.5 46.2 244 176
168 6.7 42.7 76 2
