#config f cx cy
413 376 240
#image x y z h
4 178 -38 242 1
4 234 -35 210 1
4 202 -34 243 2
4 223 -30 211 1
4 193 -32 243 1
4 208 -14 185 1
4 222 -14 228 1
4 205 -13 185 2
4 191 18 233 1
4 172 30 198 1
4 174 30 153 2
4 -45 35 150 1
4 166 37 164 1
4 173 37 155 1
4 -130 39 147 1
4 -103 39 152 2
4 -92 39 155 1
4 -84 40 154 1
4 -75 39 150 1
4 -48 38 148 1
4 -46 38 148 1
4 -45 38 148 1
4 171 45 155 2
4 172 41 155 1
4 173 41 155 1
4 -126 41 150 1
4 -22 39 142 2
4 172 45 155 1
4 173 46 155 1
4 175 55 153 1
4 176 59 154 1
4 181 80 158 1
5 187 -40 246 1
5 197 -38 243 1
5 233 -35 213 1
5 209 -34 246 1
5 243 -34 213 2
5 194 -33 243 1
5 209 -14 186 2
5 222 -14 228 1
5 -146 32 179 1
5 171 31 151 3
5 175 51 193 1
5 -130 39 146 1
5 -102 39 149 1
5 -94 40 157 1
5 -72 39 151 1
5 -47 38 148 1
5 -46 38 148 1
5 -45 38 148 1
5 170 43 152 1
5 170 40 152 1
5 -22 39 142 1
5 -21 39 142 1
5 -20 39 142 1
5 169 43 152 1
5 175 62 156 2
5 191 89 202 1
5 185 88 162 1
6 200 -35 244 1
6 194 -34 244 1
6 222 -13 228 1
6 208 -13 186 2
6 189 18 230 1
6 -85 25 229 1
6 -131 29 192 1
6 -125 29 197 1
6 -152 32 182 1
6 -152 31 182 1
6 172 30 151 1
6 -103 39 151 1
6 -71 39 151 1
6 -48 38 148 1
6 -46 38 148 1
6 -46 38 148 1
6 -126 40 146 1
6 -124 41 148 1
6 -22 39 142 1
6 -21 39 142 1
6 -20 39 142 1
6 174 53 155 1
6 176 56 154 1
6 177 59 155 1
6 183 81 160 1
6 185 86 163 1
7 231 -36 326 123
7 203 -35 327 83
7 230 -33 326 123
7 194 -33 327 83
7 222 -12 326 97
7 209 -14 327 141
7 218 -11 326 97
7 -137 31 342 171
7 167 31 329 164
7 172 30 329 178
7 -47 36 339 188
7 -131 39 342 194
7 -72 39 340 189
7 -48 38 339 191
7 -46 38 339 191
7 -45 38 339 191
7 -101 41 341 192
7 -22 39 338 197
7 175 46 329 173
7 175 50 329 173
7 177 56 329 174
7 177 58 329 174
7 177 59 329 174
7 190 88 329 129
7 181 95 329 134
7 181 82 329 170
7 184 87 329 167
8 177 -33 247 1
8 194 -34 243 1
8 209 -34 246 1
8 232 -34 204 1
8 177 -29 248 1
8 221 -12 228 1
8 209 -14 186 1
8 218 -11 228 1
8 -81 26 247 2
8 -136 30 164 1
8 -128 34 178 1
8 173 30 152 1
8 173 28 152 1
8 -130 39 147 1
8 -103 39 150 1
8 -93 40 156 1
8 -91 40 156 1
8 -73 39 150 2
8 -47 38 148 1
8 -46 38 148 1
8 -45 38 148 1
8 -124 41 150 1
8 -22 39 141 2
8 176 58 154 1
8 182 79 163 1
8 183 83 161 1
8 185 88 163 1
9 231 -36 326 123
9 238 -36 325 113
9 182 -34 328 81
9 206 -34 327 82
9 236 -34 325 118
9 181 -32 328 81
9 193 -33 327 82
9 181 -30 328 81
9 222 -14 326 98
9 209 -14 327 141
9 -130 28 342 167
9 -125 28 342 160
9 -135 30 342 178
9 -121 32 342 177
9 167 30 329 164
9 171 30 329 178
9 -70 38 340 188
9 -131 39 342 195
9 -103 39 341 191
9 -75 39 340 189
9 -48 38 339 191
9 -27 38 338 192
9 172 40 329 177
9 -21 39 338 197
9 175 49 329 174
9 175 51 329 174
9 176 55 329 174
9 177 58 329 174
9 176 60 329 174
9 176 59 329 174
9 189 88 329 130
9 184 82 329 168
9 185 87 329 167
10 176 -37 238 1
10 233 -35 212 1
10 202 -34 243 2
10 239 -34 209 1
10 190 -32 243 2
10 208 -13 186 3
10 222 -14 229 1
10 206 -13 186 1
10 207 -13 186 1
10 -66 25 235 1
10 -118 28 223 1
10 -125 30 198 1
10 168 29 163 1
10 173 29 152 1
10 173 28 152 1
10 -45 35 150 2
10 176 51 198 1
10 -131 39 148 1
10 -74 39 151 2
10 -47 38 148 2
10 -124 42 151 1
10 -117 41 150 1
10 -106 42 152 1
10 -99 41 148 1
10 -21 39 141 2
10 175 50 156 1
10 175 51 156 1
10 177 56 155 1
10 177 58 155 1
10 176 61 155 1
10 176 59 155 1
10 189 88 199 1
10 180 75 158 2
10 181 95 194 1
11 176 -38 239 1
11 228 -34 205 1
11 198 -33 245 2
11 221 -13 228 1
11 208 -13 186 2
11 189 18 231 1
11 -79 24 240 1
11 -68 24 237 1
11 -126 31 202 1
11 -140 30 169 1
11 -126 32 173 1
11 169 30 168 1
11 172 30 151 1
11 172 29 151 1
11 171 49 154 1
11 175 51 182 1
11 -104 39 152 1
11 -73 39 150 1
11 -47 38 147 2
11 -126 41 148 1
11 -123 41 151 1
11 -93 42 157 1
11 -86 41 152 1
11 -22 39 141 2
11 172 49 154 1
11 173 49 154 1
11 175 62 156 2
11 183 85 190 1
11 182 82 159 1
11 184 87 162 1
12 175 -34 245 1
12 202 -34 243 2
12 227 -31 200 1
12 188 -32 243 1
12 175 -29 245 1
12 208 -14 185 1
12 217 -11 228 2
12 205 -13 185 2
12 -128 28 176 1
12 -121 27 189 1
12 -146 32 178 1
12 -125 34 172 1
12 -61 34 167 1
12 171 30 151 1
12 -64 38 154 1
12 178 52 201 1
12 176 52 192 1
12 -130 39 147 1
12 -103 39 150 1
12 -69 39 149 1
12 -47 38 148 2
12 -121 42 151 2
12 -22 39 142 1
12 -21 39 142 1
12 -20 39 142 1
12 174 49 155 3
12 175 61 174 1
12 175 61 156 1
12 190 88 200 1
12 185 88 163 1
13 232 -35 211 1
13 184 -34 249 1
13 199 -34 243 1
13 236 -34 207 1
13 218 -12 228 1
13 209 -14 186 1
13 -129 28 175 1
13 -120 30 187 1
13 -147 32 179 1
13 -60 34 169 1
13 170 29 149 1
13 -132 39 149 1
13 -104 39 152 1
13 -89 40 154 1
13 -74 39 151 2
13 -47 38 148 2
13 -128 41 149 1
13 -127 41 151 1
13 -22 39 141 2
13 175 50 156 1
13 175 51 156 2
13 177 61 156 1
13 177 62 156 2
13 189 88 199 1
13 185 83 163 1
13 185 88 163 1
14 176 -38 328 89
14 201 -34 327 84
14 231 -33 326 123
14 190 -33 327 84
14 190 -32 327 84
14 209 -14 327 140
14 209 -14 327 140
14 222 -14 326 98
14 189 18 328 97
14 -125 30 342 144
14 -146 31 343 164
14 -125 34 342 170
14 166 31 329 157
14 171 30 329 178
14 -126 41 342 191
14 -101 39 341 191
14 -98 39 341 187
14 -92 39 341 185
14 -74 39 340 188
14 -48 38 339 191
14 174 39 329 175
14 -127 41 342 194
14 -125 41 342 191
14 -123 41 342 191
14 -21 39 338 197
14 176 49 329 174
14 175 61 329 173
14 189 87 329 131
14 180 79 329 167
14 184 82 329 167
14 186 89 329 166
15 233 -35 215 1
15 199 -34 243 1
15 209 -14 186 1
15 221 -12 228 1
15 218 -11 228 1
15 190 18 232 1
15 -124 31 200 1
15 -143 31 176 1
15 171 30 151 1
15 -130 39 147 1
15 -124 40 157 1
15 -102 39 150 1
15 -73 39 150 1
15 -48 38 148 2
15 172 45 156 2
15 173 45 156 2
15 175 45 156 1
15 -22 39 142 1
15 -21 39 142 1
15 -20 39 142 1
15 174 48 156 1
15 175 50 156 1
15 177 56 156 1
15 177 58 156 1
15 177 60 156 1
15 177 59 156 1
15 183 80 164 2
15 185 84 163 1
15 185 88 163 1
16 184 -39 328 86
16 178 -32 328 86
16 204 -35 327 82
16 222 -13 326 98
16 208 -13 327 142
16 -129 28 342 167
16 -145 32 343 166
16 164 31 329 164
16 173 31 329 177
16 173 31 329 177
16 -131 39 342 194
16 -122 40 342 186
16 -105 39 341 190
16 -72 39 340 190
16 -48 38 339 192
16 171 40 329 178
16 171 39 329 178
16 -127 41 342 194
16 -22 39 338 197
16 177 56 329 174
16 177 58 329 174
16 176 60 329 174
16 176 59 329 174
16 179 80 329 163
16 184 85 329 166
16 185 87 329 166
17 229 -34 326 119
17 224 -30 326 128
17 192 -33 327 85
17 222 -14 326 98
17 208 -14 327 141
17 -47 25 338 87
17 -144 31 343 170
17 170 29 329 179
17 -130 39 342 195
17 -103 39 341 190
17 -73 39 340 189
17 -48 38 339 191
17 -46 38 339 191
17 -45 38 339 191
17 -121 41 342 190
17 -120 42 342 190
17 -113 42 342 190
17 -95 42 341 187
17 -91 42 341 187
17 -22 39 338 196
17 174 49 329 174
17 177 55 329 174
17 177 61 329 173
17 177 59 329 173
17 183 81 329 169
17 185 88 329 167
18 226 -35 198 1
18 187 -40 246 1
18 192 -39 245 1
18 181 -34 246 1
18 204 -34 245 1
18 204 -35 245 1
18 231 -32 203 1
18 198 -33 245 1
18 198 -34 245 1
18 218 -13 228 1
18 208 -13 186 2
18 189 18 231 1
18 -143 31 171 1
18 -124 33 170 1
18 175 30 154 1
18 175 29 154 1
18 -45 36 151 1
18 -130 39 147 1
18 -106 39 153 1
18 -97 39 156 1
18 -94 39 156 1
18 -74 39 151 2
18 -47 38 148 2
18 -126 41 147 1
18 -22 39 141 2
18 172 49 153 1
18 170 58 174 1
18 176 53 155 1
18 176 55 155 1
18 177 56 155 1
18 184 83 162 1
18 184 87 161 1
19 207 -34 245 1
19 228 -31 200 1
19 194 -33 244 1
19 182 -30 249 1
19 209 -14 186 2
19 218 -13 228 1
19 -60 34 166 1
19 172 29 152 1
19 180 53 194 1
19 -130 39 147 1
19 -91 40 154 1
19 -89 40 154 1
19 -74 39 150 1
19 -47 38 148 2
19 175 57 220 1
19 -125 44 153 1
19 -101 41 148 1
19 -22 39 141 2
19 174 50 155 1
19 -122 44 153 1
19 176 52 155 1
19 176 53 155 2
19 176 55 155 1
19 177 57 155 1
19 177 59 155 1
19 181 82 159 1
19 185 88 163 1
20 232 -34 208 1
20 196 -34 241 1
20 191 -32 241 1
20 209 -14 186 2
20 221 -12 228 1
20 218 -11 228 1
20 -121 28 191 1
20 -147 32 181 1
20 -125 34 171 1
20 170 30 169 1
20 171 30 150 2
20 -101 39 150 2
20 -72 39 150 1
20 -63 39 155 1
20 -47 38 148 2
20 -124 41 145 1
20 -122 41 147 1
20 -119 41 150 1
20 -109 41 150 1
20 -79 41 148 1
20 -22 39 141 2
20 174 50 155 1
20 174 52 155 1
20 168 60 174 1
20 176 54 155 1
20 176 56 155 1
20 177 61 156 1
20 177 59 156 1
20 180 80 158 1
20 185 88 162 1
21 184 -39 241 1
21 177 -33 241 1
21 204 -35 245 1
21 209 -14 186 2
21 222 -14 228 1
21 -76 26 242 1
21 -128 27 174 1
21 -143 31 176 1
21 -121 32 166 1
21 172 30 151 1
21 169 32 165 1
21 -130 39 147 1
21 -122 40 157 1
21 -102 39 150 1
21 -75 39 150 1
21 -49 38 148 1
21 178 57 223 1
21 -126 41 147 2
21 -94 42 154 1
21 -90 41 152 1
21 -22 39 141 2
21 172 48 153 1
21 175 49 154 1
21 176 55 154 1
21 176 59 154 1
21 185 83 162 1
21 185 87 162 1
22 233 -35 325 114
22 196 -34 327 84
22 198 -34 327 84
22 201 -34 327 84
22 193 -34 327 84
22 209 -13 327 141
22 218 -13 326 98
22 -131 28 342 166
22 -125 30 342 147
22 -144 32 343 166
22 170 31 329 164
22 172 30 329 177
22 -131 39 342 194
22 -105 39 341 189
22 -75 39 340 190
22 -68 39 340 187
22 -48 38 339 191
22 -124 41 342 190
22 -83 41 340 192
22 -22 39 338 197
22 174 49 329 177
22 176 54 329 174
22 177 61 329 173
22 177 59 329 173
22 186 94 329 124
22 182 79 329 167
22 183 81 329 169
22 185 87 329 167
23 233 -34 325 116
23 203 -35 327 83
23 190 -33 327 84
23 190 -33 327 84
23 174 -29 328 85
23 218 -13 326 98
23 208 -14 327 141
23 173 26 329 118
23 -128 35 342 164
23 172 30 329 178
23 -131 39 342 194
23 -105 39 341 191
23 -75 39 340 190
23 -48 38 339 192
23 171 42 329 177
23 172 39 329 177
23 173 39 329 177
23 -127 41 342 194
23 -121 41 342 194
23 -21 39 338 197
23 173 58 329 153
23 176 56 329 175
